date,ticker,open,high,low,close
2015-12-03,INDIA VIX,15.48,16.16,15.11,16.06
2015-12-04,INDIA VIX,16.05,16.55,15.56,16.09
2015-12-07,INDIA VIX,16.08,16.36,15.79,15.87
2015-12-08,INDIA VIX,15.86,16.24,15.47,15.97
2015-12-09,INDIA VIX,15.97,16.92,15.37,16.73
2015-12-10,INDIA VIX,16.72,16.73,15.46,16.29
2015-12-11,INDIA VIX,16.29,17.77,15.03,17.18
2015-12-14,INDIA VIX,17.18,18.36,16.46,17.8
2015-12-15,INDIA VIX,17.79,18.36,16.11,17.34
2015-12-16,INDIA VIX,17.34,17.34,14.9,16.73
2015-12-17,INDIA VIX,16.72,16.73,14.02,14.22
2015-12-18,INDIA VIX,14.21,14.71,13.03,14.49
2015-12-21,INDIA VIX,14.49,14.97,12.98,14.23
2015-12-22,INDIA VIX,14.22,14.61,12.22,14.48
2015-12-23,INDIA VIX,14.48,14.48,12.62,13.65
2015-12-24,INDIA VIX,13.65,13.94,11.2,13.75
2015-12-28,INDIA VIX,13.74,14.53,10.37,14.4
2015-12-29,INDIA VIX,14.4,14.71,13.33,14.24
2015-12-30,INDIA VIX,14.23,14.5,12.78,14.35
2015-12-31,INDIA VIX,14.35,14.49,12.98,13.87
2016-01-01,INDIA VIX,13.87,14.35,13.1,14.26
2016-01-04,INDIA VIX,14.26,17.1,14.03,16.84
2016-01-05,INDIA VIX,16.83,16.84,15.56,16.7
2016-01-06,INDIA VIX,16.7,17.16,15.6,16.55
2016-01-07,INDIA VIX,16.55,19.26,16.49,18.96
2016-01-08,INDIA VIX,18.96,18.96,16.87,17.8
2016-01-11,INDIA VIX,17.79,19.2,17.79,18.69
2016-01-12,INDIA VIX,18.69,19.19,17.15,18.71
2016-01-13,INDIA VIX,18.71,19.66,17.52,18.35
2016-01-14,INDIA VIX,18.35,19.79,16.46,18.61
2016-01-15,INDIA VIX,18.6,19.69,15.67,19.42
2016-01-18,INDIA VIX,19.41,20.54,18.1,20.23
2016-01-19,INDIA VIX,20.22,20.23,17.93,18.43
2016-01-20,INDIA VIX,18.43,22.11,17.18,20.97
2016-01-21,INDIA VIX,20.96,21.69,17.85,20.81
2016-01-22,INDIA VIX,20.81,20.81,17.11,18.82
2016-01-25,INDIA VIX,18.82,19.15,17.21,18.27
2016-01-27,INDIA VIX,18.26,19.27,17.93,19.06
2016-01-28,INDIA VIX,19.05,19.06,17.25,17.9
2016-01-29,INDIA VIX,17.9,18.8,17.07,17.24
2016-02-01,INDIA VIX,17.24,18.17,17.12,17.89
2016-02-02,INDIA VIX,17.89,18.35,16.48,18.04
2016-02-03,INDIA VIX,18.03,18.94,18.01,18.59
2016-02-04,INDIA VIX,18.58,18.65,17.32,18.21
2016-02-05,INDIA VIX,18.2,18.33,16.54,18.12
2016-02-08,INDIA VIX,18.11,20.45,17.36,20.26
2016-02-09,INDIA VIX,20.25,22.03,20.24,21.73
2016-02-10,INDIA VIX,21.72,23.1,21.43,22.47
2016-02-11,INDIA VIX,22.46,26.87,22.11,25.97
2016-02-12,INDIA VIX,25.96,25.97,24.0,24.67
2016-02-15,INDIA VIX,24.67,24.67,21.79,22.38
2016-02-16,INDIA VIX,22.37,23.33,17.32,23.04
2016-02-17,INDIA VIX,23.04,23.81,20.63,21.83
2016-02-18,INDIA VIX,21.83,22.3,19.79,21.49
2016-02-19,INDIA VIX,21.48,21.66,17.69,20.92
2016-02-22,INDIA VIX,20.91,21.86,17.4,21.02
2016-02-23,INDIA VIX,21.02,24.64,21.02,23.84
2016-02-24,INDIA VIX,23.83,24.82,22.12,22.96
2016-02-25,INDIA VIX,22.95,23.48,2.3,22.75
2016-02-26,INDIA VIX,22.74,23.15,21.19,21.87
2016-02-29,INDIA VIX,21.86,22.4,19.35,20.16
2016-03-01,INDIA VIX,20.15,20.16,18.4,18.67
2016-03-02,INDIA VIX,18.67,19.2,17.49,18.99
2016-03-03,INDIA VIX,18.99,19.02,17.9,18.04
2016-03-04,INDIA VIX,18.04,18.32,17.2,17.88
2016-03-08,INDIA VIX,17.88,18.97,17.41,18.47
2016-03-09,INDIA VIX,18.46,18.67,17.31,17.51
2016-03-10,INDIA VIX,17.5,18.24,16.26,17.9
2016-03-11,INDIA VIX,17.89,17.9,16.03,17.1
2016-03-14,INDIA VIX,17.09,17.4,15.58,17.1
2016-03-15,INDIA VIX,17.1,17.84,15.23,17.6
2016-03-16,INDIA VIX,17.59,17.88,14.59,17.12
2016-03-17,INDIA VIX,17.11,17.28,15.55,16.84
2016-03-18,INDIA VIX,16.84,16.86,14.9,16.38
2016-03-21,INDIA VIX,16.38,17.11,14.83,16.33
2016-03-22,INDIA VIX,16.33,16.86,13.69,16.43
2016-03-23,INDIA VIX,16.43,16.87,13.94,16.34
2016-03-28,INDIA VIX,16.34,18.57,15.18,17.48
2016-03-29,INDIA VIX,17.48,18.04,16.8,17.63
2016-03-30,INDIA VIX,17.63,17.63,16.57,16.8
2016-03-31,INDIA VIX,16.8,16.88,15.49,16.58
2016-04-01,INDIA VIX,16.58,17.89,16.29,17.27
2016-04-04,INDIA VIX,17.27,18.16,16.23,17.45
2016-04-05,INDIA VIX,17.45,18.06,16.88,17.83
2016-04-06,INDIA VIX,17.83,17.92,16.12,17.34
