"date","ticker","name","exchange","open","high","low","close","volume","last_updated"
2012-11-09,NIFTY 50,NIFTY 50,NSE,5731.1,5751.7,5677.75,5686.25,0,2025-10-15 10:50:43.804
2012-11-09,NIFTY MIDCAP 100,NIFTY MIDCAP 100,NSE,7967.3,8019.5,7881.55,7890.1,0,2025-10-15 10:50:53.899
2012-11-12,NIFTY SMLCAP 100,NIFTY SMLCAP 100,NSE,3456.85,3488.8,3456.85,3485.2,0,2025-10-15 10:53:52.910
2012-11-12,NIFTY 50,NIFTY 50,NSE,5688.45,5718.9,5665.75,5683.7,0,2025-10-15 10:50:43.804
2012-11-12,NIFTY MIDCAP 100,NIFTY MIDCAP 100,NSE,7889.7,7928.05,7886.9,7909.3,0,2025-10-15 10:50:53.899
2012-11-13,NIFTY SMLCAP 100,NIFTY SMLCAP 100,NSE,3495.05,3547.7,3495.05,3544.6,0,2025-10-15 10:53:52.910
2012-11-13,NIFTY 50,NIFTY 50,NSE,5689.7,5698.25,5660.35,5666.95,0,2025-10-15 10:50:43.804
2012-11-13,NIFTY MIDCAP 100,NIFTY MIDCAP 100,NSE,7909.5,7976.6,7909.5,7961.3,0,2025-10-15 10:50:53.899
2012-11-15,NIFTY 50,NIFTY 50,NSE,5650.35,5651.65,5603.55,5631.0,0,2025-10-15 10:50:43.804
2012-11-15,NIFTY MIDCAP 100,NIFTY MIDCAP 100,NSE,7960.1,7960.1,7887.15,7939.8,0,2025-10-15 10:50:53.899
2012-11-15,NIFTY SMLCAP 100,NIFTY SMLCAP 100,NSE,3539.3,3563.4,3503.0,3560.7,0,2025-10-15 10:53:52.910
2012-11-16,NIFTY SMLCAP 100,NIFTY SMLCAP 100,NSE,3571.55,3590.75,3509.1,3518.4,0,2025-10-15 10:53:52.910
2012-11-16,NIFTY MIDCAP 100,NIFTY MIDCAP 100,NSE,7939.4,7992.65,7831.2,7855.4,0,2025-10-15 10:50:53.899
2012-11-16,NIFTY 50,NIFTY 50,NSE,5624.8,5650.15,5559.8,5574.05,0,2025-10-15 10:50:43.804
2012-11-19,NIFTY 50,NIFTY 50,NSE,5577.3,5592.75,5549.25,5571.4,0,2025-10-15 10:50:43.804
2012-11-19,NIFTY MIDCAP 100,NIFTY MIDCAP 100,NSE,7856.2,7893.85,7770.1,7775.1,0,2025-10-15 10:50:53.899
2012-11-19,NIFTY SMLCAP 100,NIFTY SMLCAP 100,NSE,3518.95,3534.7,3482.35,3485.3,0,2025-10-15 10:53:52.910
